ProductID,ProductName,Brand,Category,SubCategory,Price,DiscountPct,Rating,ReviewCount,SkinType,StockQuantity,UnitsSold,Revenue,Region,SalesChannel,CrueltyFree,OrderDate
BP0091,GlowLab Eye Cream,GlowLab,Skincare,Eye Cream,37.06,0,4.3,108,Sensitive,316,49,1815.94,North America,Online,No,2025-05-17
BP0092,BloomBeauty Hair Mask,BloomBeauty,Haircare,Hair Mask,20.8,20,4.5,432,Combination,88,32,665.6,Latin America,Online,Yes,2025-04-06
BP0093,AuraCare Shampoo,AuraCare,Haircare,Shampoo,16.09,10,4.1,75,Oily,473,84,1351.56,Middle East,Online,Yes,2025-02-06
BP0094,AuraCare Concealer,AuraCare,Makeup,Concealer,25.77,10,4.3,113,Sensitive,204,12,309.24,Europe,Online,No,2024-03-09
BP0095,GlowLab Shampoo,GlowLab,Haircare,Shampoo,10.22,0,4.9,621,All,430,39,398.58,Latin America,Online,Yes,2024-12-29
BP0096,SilkStrand Moisturizer,SilkStrand,Skincare,Moisturizer,31.1,0,4.5,318,Combination,350,66,2052.6,Asia Pacific,Online,Yes,2024-11-28
BP0097,LashPro Shower Gel,LashPro,Bath & Body,Shower Gel,12.37,0,4.5,183,Sensitive,437,209,2585.33,Europe,Marketplace,No,2024-08-29
BP0098,PureEarth Eyeshadow Palette,PureEarth,Makeup,Eyeshadow Palette,20.71,15,4.0,165,Combination,456,118,2443.78,Europe,Marketplace,No,2025-04-04
BP0099,PureEarth Hair Serum,PureEarth,Haircare,Hair Serum,9.32,15,4.9,902,Sensitive,144,99,922.68,Asia Pacific,Online,Yes,2024-11-15
BP0100,Rougeon Body Mist,Rougeon,Fragrance,Body Mist,53.84,30,3.9,1154,Dry,419,55,2961.2,Middle East,Online,Yes,2025-02-26
BP0101,Rougeon Eye Cream,Rougeon,Skincare,Eye Cream,40.93,20,5.0,336,Oily,490,9,368.37,Latin America,In-Store,Yes,2024-03-16
BP0102,Rougeon Conditioner,Rougeon,Haircare,Conditioner,8.28,30,4.6,279,Combination,276,109,902.52,Europe,In-Store,No,2025-01-08
BP0103,GlowLab Liquid Lipstick,GlowLab,Makeup,Liquid Lipstick,23.46,15,4.7,195,Oily,230,54,1266.84,Europe,In-Store,Yes,2024-01-29
BP0104,NuraBeauty Cologne,NuraBeauty,Fragrance,Cologne,80.09,0,4.6,698,Sensitive,400,33,2642.97,Europe,Online,No,2025-05-01
BP0105,BloomBeauty Face Mask,BloomBeauty,Skincare,Face Mask,18.31,0,4.5,0,Dry,218,207,3790.17,North America,In-Store,No,2024-01-19
BP0106,NuraBeauty Facial Serum,NuraBeauty,Skincare,Facial Serum,19.24,0,4.2,930,Dry,46,183,3520.92,Asia Pacific,Online,No,2025-02-06
BP0107,PureEarth Hair Mask,PureEarth,Haircare,Hair Mask,4.99,15,3.5,138,Sensitive,375,23,114.77,Middle East,Online,Yes,2024-02-16
BP0108,AuraCare Eyeshadow Palette,AuraCare,Makeup,Eyeshadow Palette,21.91,0,4.1,649,All,196,123,2694.93,Latin America,Marketplace,Yes,2025-06-15
BP0109,SunKissed Hair Oil,SunKissed,Haircare,Hair Oil,8.5,0,3.9,436,Oily,414,296,2516.0,Asia Pacific,Online,Yes,2024-01-15
BP0110,PureEarth Face Mask,PureEarth,Skincare,Face Mask,27.17,10,3.7,218,Dry,192,62,1684.54,North America,Online,Yes,2024-10-11
BP0111,GlowLab Face Mask,GlowLab,Skincare,Face Mask,14.51,0,4.2,648,Sensitive,85,73,1059.23,North America,Online,No,2024-09-13
BP0112,BloomBeauty Toner,BloomBeauty,Skincare,Toner,15.97,20,3.9,213,All,49,19,303.43,North America,Online,Yes,2024-08-18
BP0113,LashPro Face Mask,LashPro,Skincare,Face Mask,19.38,0,5.0,271,All,305,30,581.4,Latin America,Marketplace,Yes,2025-04-29
BP0114,SilkStrand Toner,SilkStrand,Skincare,Toner,16.29,0,4.8,535,Dry,409,205,3339.45,North America,Online,Yes,2025-06-27
BP0115,BloomBeauty Body Lotion,BloomBeauty,Bath & Body,Body Lotion,17.97,5,4.1,700,Oily,249,513,9218.61,Europe,Online,Yes,2025-06-13
BP0116,LashPro Sunscreen Lotion,LashPro,Skincare,Sunscreen Lotion,34.06,25,4.9,147,Dry,294,81,2758.86,Middle East,Online,Yes,2024-08-10
BP0117,LashPro Shower Gel,LashPro,Bath & Body,Shower Gel,6.81,0,4.7,361,Oily,230,226,1539.06,Europe,Online,Yes,2024-10-29
BP0118,Rougeon Face Mask,Rougeon,Skincare,Face Mask,37.79,5,4.3,190,Sensitive,281,199,7520.21,Asia Pacific,In-Store,No,2024-05-20
BP0119,GlowLab Hair Oil,GlowLab,Haircare,Hair Oil,27.13,10,4.2,87,All,2,1,27.13,Latin America,In-Store,Yes,2025-01-05
BP0120,PureEarth Eau de Parfum,PureEarth,Fragrance,Eau de Parfum,70.32,0,4.3,64,All,165,59,4148.88,Latin America,In-Store,Yes,2024-07-22
BP0121,PureEarth Hair Serum,PureEarth,Haircare,Hair Serum,19.62,0,4.6,2730,Sensitive,427,130,2550.6,Latin America,Marketplace,Yes,2024-11-19
BP0122,PureEarth Body Mist,PureEarth,Fragrance,Body Mist,50.17,15,3.3,212,All,212,303,15201.51,North America,Online,No,2024-08-15
BP0123,LashPro Sunscreen Lotion,LashPro,Skincare,Sunscreen Lotion,46.0,5,4.2,139,Combination,231,164,7544.0,Asia Pacific,In-Store,Yes,2024-03-30
BP0124,PureEarth Sunscreen Lotion,PureEarth,Skincare,Sunscreen Lotion,30.87,15,3.7,273,Combination,94,63,1944.81,North America,Marketplace,Yes,2024-02-22
BP0125,GlowLab Body Lotion,GlowLab,Bath & Body,Body Lotion,18.45,30,5.0,839,Oily,214,50,922.5,Europe,Online,No,2024-01-20
BP0126,VelvetSkin Moisturizer,VelvetSkin,Skincare,Moisturizer,36.98,0,4.3,83,Oily,467,492,18194.16,Latin America,Online,No,2024-03-05
BP0127,AuraCare Liquid Lipstick,AuraCare,Makeup,Liquid Lipstick,17.13,30,4.2,821,All,31,298,5104.74,Europe,Online,Yes,2024-06-18
BP0128,NuraBeauty Sunscreen Lotion,NuraBeauty,Skincare,Sunscreen Lotion,37.4,30,3.7,1248,Sensitive,63,265,9911.0,Europe,Online,No,2024-10-24
BP0129,PureEarth Hair Mask,PureEarth,Haircare,Hair Mask,16.0,25,4.2,282,Dry,195,32,512.0,Middle East,In-Store,Yes,2024-02-12
BP0130,GlowLab Liquid Lipstick,GlowLab,Makeup,Liquid Lipstick,23.24,0,3.6,1668,All,109,44,1022.56,Middle East,Marketplace,Yes,2025-05-25
BP0131,GlowLab Eye Cream,GlowLab,Skincare,Eye Cream,22.31,20,4.6,452,Oily,268,101,2253.31,Middle East,In-Store,Yes,2024-04-20
BP0132,LashPro Body Lotion,LashPro,Bath & Body,Body Lotion,10.53,0,5.0,433,Sensitive,472,45,473.85,Europe,Online,Yes,2025-02-24
BP0133,SilkStrand Hair Serum,SilkStrand,Haircare,Hair Serum,23.19,0,4.7,358,All,84,407,9438.33,Middle East,Online,Yes,2024-04-12
BP0134,PureEarth Blush,PureEarth,Makeup,Blush,4.99,0,3.8,436,All,210,13,64.87,Middle East,Online,Yes,2024-11-19
BP0135,PureEarth Body Lotion,PureEarth,Bath & Body,Body Lotion,13.39,20,4.1,64,All,411,45,602.55,Middle East,Online,Yes,2025-03-02
BP0136,LashPro Foundation,LashPro,Makeup,Foundation,22.5,0,4.7,659,Sensitive,185,88,1980.0,Middle East,Online,No,2025-03-18
BP0137,VelvetSkin Sunscreen Lotion,VelvetSkin,Skincare,Sunscreen Lotion,29.07,0,4.8,423,Dry,373,435,12645.45,Middle East,Online,No,2024-05-28
BP0138,SunKissed Face Mask,SunKissed,Skincare,Face Mask,33.52,0,4.3,1022,Dry,354,49,1642.48,Middle East,Online,Yes,2024-07-13
BP0139,Rougeon Face Mask,Rougeon,Skincare,Face Mask,21.9,15,3.9,129,Combination,240,97,2124.3,Asia Pacific,In-Store,Yes,2025-02-11
BP0140,LashPro Face Mask,LashPro,Skincare,Face Mask,31.24,0,4.2,114,Sensitive,120,146,4561.04,North America,Online,Yes,2024-06-20
BP0141,LashPro Eye Cream,LashPro,Skincare,Eye Cream,11.51,20,4.4,366,Oily,248,67,771.17,North America,Marketplace,Yes,2025-04-17
BP0142,VelvetSkin Shower Gel,VelvetSkin,Bath & Body,Shower Gel,20.66,15,4.8,18,Combination,238,160,3305.6,Asia Pacific,In-Store,Yes,2024-08-10
BP0143,SunKissed Sunscreen Lotion,SunKissed,Skincare,Sunscreen Lotion,35.34,0,3.6,710,Dry,157,134,4735.56,Middle East,In-Store,No,2024-05-26
BP0144,SunKissed Eyeshadow Palette,SunKissed,Makeup,Eyeshadow Palette,22.77,0,3.7,42,Sensitive,474,35,796.95,North America,In-Store,Yes,2025-03-30
BP0145,SunKissed Cologne,SunKissed,Fragrance,Cologne,47.45,0,4.4,842,All,407,58,2752.1,Latin America,Marketplace,Yes,2024-05-30
BP0146,SunKissed Eyeshadow Palette,SunKissed,Makeup,Eyeshadow Palette,18.46,0,4.4,690,Sensitive,417,37,683.02,Middle East,In-Store,No,2024-01-03
BP0147,BloomBeauty Eye Cream,BloomBeauty,Skincare,Eye Cream,33.39,0,4.0,426,Oily,373,112,3739.68,Europe,Online,Yes,2024-04-12
BP0148,SilkStrand Body Mist,SilkStrand,Fragrance,Body Mist,40.96,0,4.5,230,Sensitive,201,120,4915.2,North America,Online,Yes,2025-02-15
BP0149,PureEarth Face Mask,PureEarth,Skincare,Face Mask,32.98,25,4.4,986,Combination,401,104,3429.92,Middle East,Online,Yes,2024-05-29
BP0150,SunKissed Blush,SunKissed,Makeup,Blush,7.56,20,4.4,46,Dry,80,127,960.12,Asia Pacific,Online,No,2025-03-02
BP0151,SunKissed Eau de Parfum,SunKissed,Fragrance,Eau de Parfum,62.22,10,4.7,1061,Dry,309,287,17857.14,Middle East,In-Store,No,2024-03-10
BP0152,NuraBeauty Liquid Lipstick,NuraBeauty,Makeup,Liquid Lipstick,18.57,0,3.7,67,Dry,374,79,1467.03,Asia Pacific,Online,Yes,2024-03-05
BP0153,LashPro Blush,LashPro,Makeup,Blush,15.14,30,4.1,37,Sensitive,368,176,2664.64,Europe,Online,No,2024-10-12
BP0154,AuraCare Hair Oil,AuraCare,Haircare,Hair Oil,33.04,0,3.9,212,Sensitive,236,348,11497.92,Europe,Online,No,2024-02-21
BP0155,LashPro Hair Mask,LashPro,Haircare,Hair Mask,7.93,0,4.4,432,Oily,385,64,507.52,Europe,In-Store,No,2024-11-26
BP0156,VelvetSkin Eye Cream,VelvetSkin,Skincare,Eye Cream,22.73,0,4.8,64,Combination,174,133,3023.09,Middle East,Online,No,2024-01-17
BP0157,SunKissed Conditioner,SunKissed,Haircare,Conditioner,9.29,30,4.1,262,Combination,265,483,4487.07,Middle East,Online,Yes,2024-05-13
BP0158,SilkStrand Hair Serum,SilkStrand,Haircare,Hair Serum,4.99,0,4.4,295,Dry,224,153,763.47,Europe,Marketplace,No,2024-04-19
BP0159,Rougeon Liquid Lipstick,Rougeon,Makeup,Liquid Lipstick,12.91,0,4.4,358,All,166,37,477.67,Europe,Online,Yes,2024-04-25
BP0160,GlowLab Body Lotion,GlowLab,Bath & Body,Body Lotion,15.51,10,3.9,388,Dry,387,207,3210.57,Asia Pacific,In-Store,Yes,2025-04-25
BP0161,LashPro Eyeshadow Palette,LashPro,Makeup,Eyeshadow Palette,10.42,10,4.2,635,Sensitive,130,86,896.12,Middle East,In-Store,Yes,2024-05-14
BP0162,GlowLab Cologne,GlowLab,Fragrance,Cologne,61.04,5,4.1,114,Combination,344,168,10254.72,North America,In-Store,Yes,2024-06-09
BP0163,SilkStrand Highlighter Palette,SilkStrand,Makeup,Highlighter Palette,12.78,0,4.3,303,Sensitive,337,343,4383.54,Middle East,Online,Yes,2024-02-10
BP0164,PureEarth Face Mask,PureEarth,Skincare,Face Mask,55.53,0,4.1,377,All,236,109,6052.77,North America,Marketplace,Yes,2024-12-03
BP0165,VelvetSkin Blush,VelvetSkin,Makeup,Blush,25.66,0,4.3,223,Combination,460,97,2489.02,Asia Pacific,Marketplace,Yes,2024-09-12
BP0166,GlowLab Moisturizer,GlowLab,Skincare,Moisturizer,27.92,0,4.4,1992,Combination,366,6,167.52,Europe,Online,No,2024-11-06
BP0167,LashPro Mascara,LashPro,Makeup,Mascara,17.87,30,4.1,1099,Dry,115,49,875.63,Latin America,In-Store,No,2024-09-29
BP0168,SunKissed Cleanser,SunKissed,Skincare,Cleanser,27.93,25,4.4,1074,Sensitive,496,204,5697.72,North America,In-Store,No,2024-10-14
BP0169,BloomBeauty Face Mask,BloomBeauty,Skincare,Face Mask,19.38,5,4.6,91,Oily,492,309,5988.42,Latin America,Online,Yes,2024-05-26
BP0170,SilkStrand Eyeshadow Palette,SilkStrand,Makeup,Eyeshadow Palette,18.19,0,4.9,122,Combination,165,39,709.41,Asia Pacific,Marketplace,Yes,2024-04-12
BP0171,BloomBeauty Hair Oil,BloomBeauty,Haircare,Hair Oil,15.58,0,4.6,210,Oily,327,23,358.34,Middle East,Online,Yes,2024-02-05
